fiscal_year,agency_name,vendor_name,vendor_clean,vendor_zip,amount,fiscal_period,date,category
2017,MD DEPARTMENT OF HUMAN SERVICES,CATHOLIC CHARITIES ARCHDIOCESE OF WASHINGTON DC,ASSOC CATHOLIC CHARITIES,20001,29669.52,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2018,MD DEPARTMENT OF HUMAN SERVICES,CATHOLIC CHARITIES ARCHDIOCESE OF WASHINGTON DC,ASSOC CATHOLIC CHARITIES,20001,29669.52,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CATHOLIC CHARITIES CALVERT CO CTR INC,ASSOC CATHOLIC CHARITIES,20002,57732.36,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2019,"MARYLAND DEPARTMENT OF HEALTH, MDH",CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,19805,75765.28,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2019,MD DEPARTMENT OF HUMAN SERVICES,CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21853,7500,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2020,"MARYLAND DEPARTMENT OF HEALTH, MDH",CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,19805,126871.99,1,2020 Jan 01 12:00:00 AM,M00
2020,MD DEPARTMENT OF HUMAN SERVICES,CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21853,7300,1,2020 Jan 01 12:00:00 AM,N00
2021,"MARYLAND DEPARTMENT OF HEALTH, MDH",CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,19805,163989.78,1,2021 Jan 01 12:00:00 AM,M00
2021,MD DEPARTMENT OF HUMAN SERVICES,CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21853,7300,1,2021 Jan 01 12:00:00 AM,N00
2022,"MARYLAND DEPARTMENT OF HEALTH, MDH",CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,19805,291020.56,1,2022 Jan 01 12:00:00 AM,M00
2022,MD DEPARTMENT OF HUMAN SERVICES,CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21853,7300,1,2022 Jan 01 12:00:00 AM,N00
2023,DEPARTMENT OF HUMAN SERVICES,CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21853,10000,1,2023 Jan 01 12:00:00 AM,N00
2023,MARYLAND DEPARTMENT OF HEALTH,CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,19805,414341.4,1,2023 Jan 01 12:00:00 AM,M00
2024,DEPARTMENT OF HUMAN SERVICES,CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21853,14392,1,2024 Jan 01 12:00:00 AM,N00
2024,MARYLAND DEPARTMENT OF HEALTH,CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,19805,336773.36,1,2024 Jan 01 12:00:00 AM,M00
2025,DEPARTMENT OF HUMAN SERVICES,CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,19805,16063,1,2025 Jan 01 12:00:00 AM,N00
2025,MARYLAND DEPARTMENT OF HEALTH,CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,19805,375934.13,1,2025 Jan 01 12:00:00 AM,M00
2026,DEPARTMENT OF HUMAN SERVICES,CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,19805,20000,1,2026 Jan 01 12:00:00 AM,N00
2026,MARYLAND DEPARTMENT OF HEALTH,CATHOLIC CHARITIES INC,ASSOC CATHOLIC CHARITIES,21853,165775.56,1,2026 Jan 01 12:00:00 AM,M00
2013,DEPARTMENT OF HUMAN RESOURCES,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF WASHINGTO,ASSOC CATHOLIC CHARITIES,20001,55419.74,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2015,DEPARTMENT OF HUMAN RESOURCES,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF WASHINGTO,ASSOC CATHOLIC CHARITIES,20001,75266.92,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2016,DEPARTMENT OF HUMAN RESOURCES,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF WASHINGTO,ASSOC CATHOLIC CHARITIES,20001,70742.16,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2017,MD DEPARTMENT OF HUMAN SERVICES,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF WASHINGTO,ASSOC CATHOLIC CHARITIES,20001,62076.1,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2018,MD DEPARTMENT OF HUMAN SERVICES,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF WASHINGTO,ASSOC CATHOLIC CHARITIES,20001,73986.24,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2019,MD DEPARTMENT OF HUMAN SERVICES,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF WASHINGTO,ASSOC CATHOLIC CHARITIES,20001,44920.74,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CATHOLIC CHARITIES OF WASHINGTON,ASSOC CATHOLIC CHARITIES,20902,140000,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2011,DHMH-GENERAL ACCOUNTING,CATHOLIC CHARITIES OF WASHINGTON,ASSOC CATHOLIC CHARITIES,20902,60000,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,MARYLAND STATE DEPARTMENT OF EDUCATION,CATHOLIC CHARITIES OF WASHINGTON,ASSOC CATHOLIC CHARITIES,20903,60,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,DHMH-GENERAL ACCOUNTING,CATHOLIC CHARTIES,ASSOC CATHOLIC CHARITIES,20637,33600,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2022,DEPARTMENT OF COMMERCE,CATONSVILLE PRESBYTERIAN CHILD CARE CENTER,CATONSVILLE PRESBYTERIAN CHILD CARE CENTER,21228,2000,1,2022 Jan 01 12:00:00 AM,T00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,CATONSVILLE PRESBYTERIAN CHILD CARE CENTER,CATONSVILLE PRESBYTERIAN CHILD CARE CENTER,21228,128120.85,1,2022 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,CATONSVILLE PRESBYTERIAN CHILD CARE CENTER,CATONSVILLE PRESBYTERIAN CHILD CARE CENTER,21228,155727.66,1,2023 Jan 01 12:00:00 AM,R00
2024,STATE DEPARTMENT OF EDUCATION,CATONSVILLE PRESBYTERIAN CHILD CARE CENTER,CATONSVILLE PRESBYTERIAN CHILD CARE CENTER,21228,122329.13,1,2024 Jan 01 12:00:00 AM,R00
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,CATONSVILLE PRESBYTERIAN CHURCH F C C C,CATONSVILLE PRESBYTERIAN CHILD CARE CENTER,21228,69228.5,1,2021 Jan 01 12:00:00 AM,R00
2026,DEPARTMENT OF EMERGENCY MANAGEMENT,CEDAR GROVE METHODIST CHURCH,CEDAR GROVE METHODIST CHURCH,20751,73917,1,2026 Jan 01 12:00:00 AM,D52
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,CENTENNIAL MEMORIAL UNITED METHODIST CHURCH,CENTENNIAL MEMORIAL UNITED METHODIST CHURCH,21701,67813.22,1,2022 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,CENTENNIAL MEMORIAL UNITED METHODIST CHURCH,CENTENNIAL MEMORIAL UNITED METHODIST CHURCH,21701,70051.9,1,2023 Jan 01 12:00:00 AM,R00
2024,STATE DEPARTMENT OF EDUCATION,CENTENNIAL MEMORIAL UNITED METHODIST CHURCH,CENTENNIAL MEMORIAL UNITED METHODIST CHURCH,21701,67062.5,1,2024 Jan 01 12:00:00 AM,R00
2025,STATE DEPARTMENT OF EDUCATION,CENTENNIAL MEMORIAL UNITED METHODIST CHURCH,CENTENNIAL MEMORIAL UNITED METHODIST CHURCH,21701,42295.7,1,2025 Jan 01 12:00:00 AM,R00
2026,STATE DEPARTMENT OF EDUCATION,CENTENNIAL MEMORIAL UNITED METHODIST CHURCH,CENTENNIAL MEMORIAL UNITED METHODIST CHURCH,21701,33779.2,1,2026 Jan 01 12:00:00 AM,R00
2024,GOV OFFICE CRIME PREVENTION AND POLICY,CENTERPOINT BAPTIST CHURCH,CENTERPOINT BAPTIST CHURCH,20757,68175,1,2024 Jan 01 12:00:00 AM,D21
2025,GOV OFFICE CRIME PREVENTION AND POLICY,CENTERPOINT BAPTIST CHURCH,CENTERPOINT BAPTIST CHURCH,20757,56692,1,2025 Jan 01 12:00:00 AM,D21
2013,DEPARTMENT OF HUMAN RESOURCES,CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,5258.75,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,MARYLAND STATE DEPARTMENT OF EDUCATION,CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,60,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,35814.39,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2022,"MARYLAND DEPARTMENT OF HEALTH, MDH",CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,100000,1,2022 Jan 01 12:00:00 AM,M00
2022,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,37353.25,1,2022 Jan 01 12:00:00 AM,J05
2022,MD DEPARTMENT OF HUMAN SERVICES,CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,3391.5,1,2022 Jan 01 12:00:00 AM,N00
2022,MILITARY DEPARTMENT,CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,25124,1,2022 Jan 01 12:00:00 AM,D50
2023,DEPARTMENT OF EMERGENCY MANAGEMENT,CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,74876,1,2023 Jan 01 12:00:00 AM,D52
2023,DEPARTMENT OF HUMAN SERVICES,CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,1485,1,2023 Jan 01 12:00:00 AM,N00
2023,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,36000,1,2023 Jan 01 12:00:00 AM,J05
2024,DEPARTMENT OF EMERGENCY MANAGEMENT,CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,61654.2,1,2024 Jan 01 12:00:00 AM,D52
2024,DEPARTMENT OF HUMAN SERVICES,CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,2158.62,1,2024 Jan 01 12:00:00 AM,N00
2024,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,36152.5,1,2024 Jan 01 12:00:00 AM,J05
2025,DEPARTMENT OF EMERGENCY MANAGEMENT,CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,115327.28,1,2025 Jan 01 12:00:00 AM,D52
2025,DEPARTMENT OF HUMAN SERVICES,CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,2413.98,1,2025 Jan 01 12:00:00 AM,N00
2025,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE CHURCH,CHESAPEAKE CHURCH,20639,35846.25,1,2025 Jan 01 12:00:00 AM,J05
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,183.67,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPARTMENT OF HUMAN RESOURCES,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,2526.62,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPARTMENT OF JUVENILE SERVICES,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,165,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,30,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2010,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,21000,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2010,MD DEPARTMENT OF AGRICULTURE,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,10000,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2011,DEPARTMENT OF HUMAN RESOURCES,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,3125.45,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,DHMH-GENERAL ACCOUNTING,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,78.1,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,MARYLAND STATE DEPARTMENT OF EDUCATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,110,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2011,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,86221.32,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2012,DEPARTMENT OF HUMAN RESOURCES,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,9518.16,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,DHMH-GENERAL ACCOUNTING,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,173.66,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,MARYLAND STATE DEPARTMENT OF EDUCATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,75,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,36000,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2014,DEPARTMENT OF HUMAN RESOURCES,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,11756.64,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2014,DHMH-GENERAL ACCOUNTING,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,64.92,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2014,MARYLAND STATE DEPARTMENT OF EDUCATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,75,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2014,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,47730.25,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2015,CAPITAL PROJECTS- OFFICE OF COMPTROLLER,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,20583.76,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2015,DEPARTMENT OF HUMAN RESOURCES,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,6107.88,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2015,DHMH-GENERAL ACCOUNTING,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,61.35,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2015,MARYLAND STATE DEPARTMENT OF EDUCATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,105,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2015,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,65900,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2016,CAPITAL PROJECTS- OFFICE OF COMPTROLLER,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,19058.74,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,DEPARTMENT OF HUMAN RESOURCES,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,6283.12,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,DHMH-GENERAL ACCOUNTING,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,19.82,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,MARYLAND STATE DEPARTMENT OF EDUCATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,15,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,79925.49,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2017,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,74205,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2017,MD DEPARTMENT OF HUMAN SERVICES,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,8226.43,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2018,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,79552.5,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2018,MD DEPARTMENT OF HUMAN SERVICES,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,8984.2,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2019,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,68866.25,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2019,MD DEPARTMENT OF HUMAN SERVICES,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,4005.68,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2020,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,59658,1,2020 Jan 01 12:00:00 AM,J05
2020,MD DEPARTMENT OF HUMAN SERVICES,CHESAPEAKE PRESBYTERIAN CHURC  H OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,13997.75,1,2020 Jan 01 12:00:00 AM,N00
2021,"CRIME PREVENTION, YOUTH & VICTIM SRVCS",CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,140585,1,2021 Jan 01 12:00:00 AM,D21
2021,DEPARTMENT OF COMMERCE,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,10000,1,2021 Jan 01 12:00:00 AM,T00
2021,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,80000,1,2021 Jan 01 12:00:00 AM,S00
2021,MARYLAND DEPARTMENT OF LABOR,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,35800,1,2021 Jan 01 12:00:00 AM,P00
2021,MARYLAND TRANSIT ADMINISTRATION,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,39383.75,1,2021 Jan 01 12:00:00 AM,J05
2021,MD DEPARTMENT OF HUMAN SERVICES,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,CHESAPEAKE PRESBYTERIAN CHURCH OF DUNKIRK,20639,7555,1,2021 Jan 01 12:00:00 AM,N00
2019,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,CHESTER RIVER ADVENTIST SCHOOL,CHESTER RIVER ADVENTIST SCHOOL,21620,27132,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,CHRIST CHURCH CHILDRENS CENTER,CHRIST CHURCH CHILDRENS CENTER,21769,42745,1,2021 Jan 01 12:00:00 AM,R00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,CHRIST CHURCH CHILDRENS CENTER,CHRIST CHURCH CHILDRENS CENTER,21769,115434,1,2022 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,CHRIST CHURCH CHILDRENS CENTER,CHRIST CHURCH CHILDRENS CENTER,20817,83365.16,1,2023 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,CHRIST CHURCH CHILDRENS CENTER,CHRIST CHURCH CHILDRENS CENTER,21769,33799,1,2023 Jan 01 12:00:00 AM,R00
2016,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APARTMENTS INC,CHRIST CHURCH HARBOR APARTMENTS INC,21230,1217077,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2017,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APARTMENTS INC,CHRIST CHURCH HARBOR APARTMENTS INC,21230,2286988,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2018,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APARTMENTS INC,CHRIST CHURCH HARBOR APARTMENTS INC,21230,2322850,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2019,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APARTMENTS INC,CHRIST CHURCH HARBOR APARTMENTS INC,21230,2187297,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2020,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APARTMENTS INC,CHRIST CHURCH HARBOR APARTMENTS INC,21230,2354744,1,2020 Jan 01 12:00:00 AM,S00
2021,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APARTMENTS INC,CHRIST CHURCH HARBOR APARTMENTS INC,21230,2725206,1,2021 Jan 01 12:00:00 AM,S00
2022,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APARTMENTS INC,CHRIST CHURCH HARBOR APARTMENTS INC,21230,2394430,1,2022 Jan 01 12:00:00 AM,S00
2023,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APARTMENTS INC,CHRIST CHURCH HARBOR APARTMENTS INC,21230,2595050,1,2023 Jan 01 12:00:00 AM,S00
2024,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APARTMENTS INC,CHRIST CHURCH HARBOR APARTMENTS INC,21230,2615714,1,2024 Jan 01 12:00:00 AM,S00
2025,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APARTMENTS INC,CHRIST CHURCH HARBOR APARTMENTS INC,21230,2611910,1,2025 Jan 01 12:00:00 AM,S00
2026,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APARTMENTS INC,CHRIST CHURCH HARBOR APARTMENTS INC,21230,1469970,1,2026 Jan 01 12:00:00 AM,S00
2008,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APT INC,CHRIST CHURCH HARBOR APT INC,21230,883177,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APT INC,CHRIST CHURCH HARBOR APT INC,21230,831610,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APT INC,CHRIST CHURCH HARBOR APT INC,21230,865818,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2011,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APT INC,CHRIST CHURCH HARBOR APT INC,21230,1009998,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2012,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APT INC,CHRIST CHURCH HARBOR APT INC,21230,1006415,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2013,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APT INC,CHRIST CHURCH HARBOR APT INC,21230,1026281,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2014,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APT INC,CHRIST CHURCH HARBOR APT INC,21230,1038560,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2015,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CHRIST CHURCH HARBOR APT INC,CHRIST CHURCH HARBOR APT INC,21230,967292,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,CHRIST CHURCH NURSERY SCHOOL,CHRIST CHURCH NURSERY SCHOOL,21230,39000,1,2022 Jan 01 12:00:00 AM,R00
